"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3933","test 1","","Fri May 30 12:01:49 NZST 2025","passed","Fri May 30 12:01:53 NZST 2025","","tests\tes1.spec.ts","",""
"","3030","submit with invalid email","","Fri May 30 13:02:25 NZST 2025","passed","Fri May 30 13:02:29 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","4088","submit form with invalid telephone number","","Fri May 30 13:03:50 NZST 2025","passed","Fri May 30 13:03:54 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","8407","@testCase2 submit contacrt form with all fields filled","","Fri May 30 13:04:39 NZST 2025","passed","Fri May 30 13:04:47 NZST 2025","@testCase2 contact form page sucess test","tests\testCase2.spec.ts","",""
"","3460","submit form with only forename and surname","","Fri May 30 13:03:07 NZST 2025","passed","Fri May 30 13:03:11 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","4141","submit form with invalid telephone number","","Fri May 30 13:02:29 NZST 2025","passed","Fri May 30 13:02:33 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3941","submit form with invalid telephone number","","Fri May 30 12:30:04 NZST 2025","passed","Fri May 30 12:30:08 NZST 2025","contact form page test","tests\tes1.spec.ts","",""
"","3981","submit form with invalid telephone number","","Fri May 30 13:04:35 NZST 2025","passed","Fri May 30 13:04:39 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3835","submit empty form and then fill form","","Fri May 30 13:03:03 NZST 2025","passed","Fri May 30 13:03:07 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3150","submit with invalid email","","Fri May 30 13:04:32 NZST 2025","passed","Fri May 30 13:04:35 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","6304","@testCase2 submit contacrt form with all fields filled","","Fri May 30 12:58:25 NZST 2025","passed","Fri May 30 12:58:32 NZST 2025","@testCase2 contact form page error test","tests\testCase2.spec.ts","",""
"","9432","@testCase2 submit contact form with only mandatory fields","","Fri May 30 13:02:53 NZST 2025","passed","Fri May 30 13:03:02 NZST 2025","@testCase2 contact form page sucess test","tests\testCase2.spec.ts","",""
"","5262","@testCase2 submit contact form with only mandatory fields","","Fri May 30 12:58:32 NZST 2025","passed","Fri May 30 12:58:37 NZST 2025","@testCase2 contact form page error test","tests\testCase2.spec.ts","",""
"","3057","submit with invalid email","","Fri May 30 13:03:11 NZST 2025","passed","Fri May 30 13:03:14 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3165","submit form with only forename and surname","","Fri May 30 13:04:29 NZST 2025","passed","Fri May 30 13:04:32 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3885","submit empty form and then fill form","","Fri May 30 13:03:40 NZST 2025","passed","Fri May 30 13:03:44 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","4014","submit form with invalid telephone number","","Fri May 30 13:05:14 NZST 2025","passed","Fri May 30 13:05:18 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","15474","@testCase2 submit contact form with only mandatory fields","","Fri May 30 13:04:47 NZST 2025","passed","Fri May 30 13:05:03 NZST 2025","@testCase2 contact form page sucess test","tests\testCase2.spec.ts","",""
"","8852","@testCase2 submit contacrt form with all fields filled","","Fri May 30 13:05:18 NZST 2025","passed","Fri May 30 13:05:27 NZST 2025","@testCase2 contact form page sucess test","tests\testCase2.spec.ts","",""
"","3880","submit empty form and then fill form","","Fri May 30 13:02:18 NZST 2025","passed","Fri May 30 13:02:22 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3924","submit empty form and then fill form","","Fri May 30 12:29:54 NZST 2025","passed","Fri May 30 12:29:58 NZST 2025","contact form page test","tests\tes1.spec.ts","",""
"","3230","submit form with only forename and surname","","Fri May 30 13:02:22 NZST 2025","passed","Fri May 30 13:02:25 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3148","submit form with only forename and surname","","Fri May 30 13:05:08 NZST 2025","passed","Fri May 30 13:05:11 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3226","submit form with only forename and surname","","Fri May 30 12:29:58 NZST 2025","passed","Fri May 30 12:30:01 NZST 2025","contact form page test","tests\tes1.spec.ts","",""
"","3863","submit empty form and then fill form","","Fri May 30 13:05:04 NZST 2025","passed","Fri May 30 13:05:08 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3094","submit with invalid email","","Fri May 30 13:05:11 NZST 2025","passed","Fri May 30 13:05:14 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","15142","@testCase2 submit contacrt form with all fields filled","","Fri May 30 13:03:54 NZST 2025","passed","Fri May 30 13:04:09 NZST 2025","@testCase2 contact form page sucess test","tests\testCase2.spec.ts","",""
"","3187","submit form with only forename and surname","","Fri May 30 13:03:44 NZST 2025","passed","Fri May 30 13:03:47 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","20191","@testCase2 submit contacrt form with all fields filled","","Fri May 30 13:02:33 NZST 2025","passed","Fri May 30 13:02:53 NZST 2025","@testCase2 contact form page sucess test","tests\testCase2.spec.ts","",""
"","3099","submit with invalid email","","Fri May 30 13:03:47 NZST 2025","passed","Fri May 30 13:03:50 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3964","submit form with invalid telephone number","","Fri May 30 13:03:14 NZST 2025","passed","Fri May 30 13:03:18 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","3842","submit empty form and then fill form","","Fri May 30 13:04:25 NZST 2025","passed","Fri May 30 13:04:29 NZST 2025","contact form page error test","tests\testCase1.spec.ts","",""
"","6588","@testCase2 submit contact form with only mandatory fields","","Fri May 30 13:03:32 NZST 2025","passed","Fri May 30 13:03:39 NZST 2025","@testCase2 contact form page sucess test","tests\testCase2.spec.ts","",""
